Date (GMT+1),Solar,"Solar forecast (Day-Ahead, D-1 18:00)","Solar forecast (Intraday, 8:00)",Solar forecast (Current)
,Power (MW),Power (MW),Power (MW),Power (MW)
2025-01-01T00:00+01:00,9.9,0,0,0
2025-01-01T00:15+01:00,9.3,0,0,0
2025-01-01T00:30+01:00,9.3,0,0,0
2025-01-01T00:45+01:00,9.5,0,0,0
2025-01-01T01:00+01:00,9.9,0,0,0
2025-01-01T01:15+01:00,9.9,0,0,0
2025-01-01T01:30+01:00,9,0,0,0
2025-01-01T01:45+01:00,9.2,0,0,0
2025-01-01T02:00+01:00,9.3,0,0,0
2025-01-01T02:15+01:00,9.2,0,0,0
2025-01-01T02:30+01:00,9.2,0,0,0
2025-01-01T02:45+01:00,9.3,0,0,0
2025-01-01T03:00+01:00,9.9,0,0,0
2025-01-01T03:15+01:00,9.2,0,0,0
2025-01-01T03:30+01:00,9.2,0,0,0
2025-01-01T03:45+01:00,9.2,0,0,0
2025-01-01T04:00+01:00,9.3,0,0,0
2025-01-01T04:15+01:00,9.2,0,0,0
2025-01-01T04:30+01:00,9.2,0,0,0
2025-01-01T04:45+01:00,9.1,0,0,0
2025-01-01T05:00+01:00,9.7,0,0,0
2025-01-01T05:15+01:00,8.8,0,0,0
2025-01-01T05:30+01:00,8.9,0,0,0
2025-01-01T05:45+01:00,8.8,0,0,0
2025-01-01T06:00+01:00,10.4,0,0,0
2025-01-01T06:15+01:00,10.5,0,0,0
2025-01-01T06:30+01:00,10.6,0,0,0
2025-01-01T06:45+01:00,10.7,0,0,0
2025-01-01T07:00+01:00,10.8,0,0,0
2025-01-01T07:15+01:00,11,0,0,0
2025-01-01T07:30+01:00,11.6,0,0,0
2025-01-01T07:45+01:00,16.3,0,0,0
2025-01-01T08:00+01:00,43.5,61.9,54.9,54.9
2025-01-01T08:15+01:00,208.3,334.4,311.1,299.4
2025-01-01T08:30+01:00,932.2,974.1,920.6,947.1
2025-01-01T08:45+01:00,1709.6,1924,1857.7,1964.6
2025-01-01T09:00+01:00,2613.1,3000.6,2959.3,3181.6
2025-01-01T09:15+01:00,3538,4140.4,4167.2,4657.4
2025-01-01T09:30+01:00,4547.7,5307.6,5408.2,5742.7
2025-01-01T09:45+01:00,5508.3,6468.8,6635.2,6965.7
2025-01-01T10:00+01:00,6476.1,7575.8,7787.4,8036.6
2025-01-01T10:15+01:00,7464.5,8642.9,8896.7,9084.3
2025-01-01T10:30+01:00,8384.7,9666,9967.7,9886
2025-01-01T10:45+01:00,9326.5,10635.1,10977.9,10902.9
2025-01-01T11:00+01:00,10185.4,11473,11838.6,11832.5
2025-01-01T11:15+01:00,10971.3,12181.2,12560.5,12538.2
2025-01-01T11:30+01:00,11499.2,12761,13131.7,13042.8
2025-01-01T11:45+01:00,11932.4,13227.8,13566.7,13430.2
2025-01-01T12:00+01:00,12091.4,13486.9,13791.1,13598.7
2025-01-01T12:15+01:00,12176.7,13546.4,13841.9,13743.2
2025-01-01T12:30+01:00,12177.4,13437.5,13742.5,13648.3
2025-01-01T12:45+01:00,11996.9,13136.6,13437.9,13523.4
2025-01-01T13:00+01:00,11634.3,12677,12967.4,12972.7
2025-01-01T13:15+01:00,11100.5,12043.1,12317.8,12414.6
2025-01-01T13:30+01:00,10371.8,11276.4,11523.2,11792
2025-01-01T13:45+01:00,9531.4,10400.9,10623.5,10986
2025-01-01T14:00+01:00,8524.9,9440,8775.5,10080.9
2025-01-01T14:15+01:00,7618.7,8368.7,7781.3,8943
2025-01-01T14:30+01:00,6553.5,7223,6713.4,7667.3
2025-01-01T14:45+01:00,5474.7,6052.5,5625.7,6407.1
2025-01-01T15:00+01:00,4352.2,4891.5,4547.9,5183.4
2025-01-01T15:15+01:00,3255.2,3759.8,3487,3868.9
2025-01-01T15:30+01:00,2201.6,2657.5,2456.3,2650.7
2025-01-01T15:45+01:00,1281.8,1597.1,1470.2,1518.3
2025-01-01T16:00+01:00,568.5,706.6,647.4,621.9
2025-01-01T16:15+01:00,144.8,206.7,184.7,183.6
2025-01-01T16:30+01:00,34.5,50.8,40.6,50.3
2025-01-01T16:45+01:00,22.6,12.7,11.2,23
2025-01-01T17:00+01:00,21.6,0,0,0
2025-01-01T17:15+01:00,21.2,0,0,0
2025-01-01T17:30+01:00,17.6,0,0,0
2025-01-01T17:45+01:00,16.2,0,0,0
2025-01-01T18:00+01:00,15.4,0,0,0
2025-01-01T18:15+01:00,14.9,0,0,0
2025-01-01T18:30+01:00,14.3,0,0,0
2025-01-01T18:45+01:00,14.2,0,0,0
2025-01-01T19:00+01:00,13.4,0,0,0
2025-01-01T19:15+01:00,12.7,0,0,0
2025-01-01T19:30+01:00,11.6,0,0,0
2025-01-01T19:45+01:00,11.4,0,0,0
2025-01-01T20:00+01:00,13.5,0,0,0
2025-01-01T20:15+01:00,12,0,0,0
2025-01-01T20:30+01:00,12.2,0,0,0
2025-01-01T20:45+01:00,12.3,0,0,0
2025-01-01T21:00+01:00,11.5,0,0,0
2025-01-01T21:15+01:00,11.2,0,0,0
2025-01-01T21:30+01:00,11.4,0,0,0
2025-01-01T21:45+01:00,11,0,0,0
2025-01-01T22:00+01:00,10.2,0,0,0
2025-01-01T22:15+01:00,10.1,0,0,0
2025-01-01T22:30+01:00,9.8,0,0,0
2025-01-01T22:45+01:00,9.6,0,0,0
2025-01-01T23:00+01:00,9.6,0,0,0
2025-01-01T23:15+01:00,9.3,0,0,0
2025-01-01T23:30+01:00,9.6,0,0,0
2025-01-01T23:45+01:00,9.8,0,0,0
2025-01-02T00:00+01:00,9.8,0,0,0
2025-01-02T00:15+01:00,8.7,0,0,0
2025-01-02T00:30+01:00,7.8,0,0,0
2025-01-02T00:45+01:00,7.2,0,0,0
2025-01-02T01:00+01:00,6.7,0,0,0
2025-01-02T01:15+01:00,6.4,0,0,0
2025-01-02T01:30+01:00,5.8,0,0,0
2025-01-02T01:45+01:00,6.6,0,0,0
2025-01-02T02:00+01:00,6.6,0,0,0
2025-01-02T02:15+01:00,5.5,0,0,0
2025-01-02T02:30+01:00,6,0,0,0
2025-01-02T02:45+01:00,5.8,0,0,0
2025-01-02T03:00+01:00,6.3,0,0,0
2025-01-02T03:15+01:00,6.5,0,0,0
2025-01-02T03:30+01:00,6.5,0,0,0
2025-01-02T03:45+01:00,6.4,0,0,0
2025-01-02T04:00+01:00,6.2,0,0,0
2025-01-02T04:15+01:00,6.3,0,0,0
2025-01-02T04:30+01:00,5.9,0,0,0
2025-01-02T04:45+01:00,6,0,0,0
2025-01-02T05:00+01:00,5.9,0,0,0
2025-01-02T05:15+01:00,6.2,0,0,0
2025-01-02T05:30+01:00,6,0,0,0
2025-01-02T05:45+01:00,5.8,0,0,0
2025-01-02T06:00+01:00,5.5,0,0,0
2025-01-02T06:15+01:00,6.8,0,0,0
2025-01-02T06:30+01:00,5.9,0,0,0
2025-01-02T06:45+01:00,7,0,0,0
2025-01-02T07:00+01:00,6.9,0,0,0
2025-01-02T07:15+01:00,7.2,0,0,0
2025-01-02T07:30+01:00,7.3,0,0,0
2025-01-02T07:45+01:00,11.7,0,0,0
2025-01-02T08:00+01:00,14.4,30.4,21.2,20.3
2025-01-02T08:15+01:00,35.3,133.7,109.7,92.8
2025-01-02T08:30+01:00,202.7,324.6,268.7,257.2
2025-01-02T08:45+01:00,513.9,642.5,545.3,540.9
2025-01-02T09:00+01:00,924.4,1147,990.2,975
2025-01-02T09:15+01:00,1321.3,1786.1,1599.3,1620.6
2025-01-02T09:30+01:00,1800.2,2469.7,2267,2260.1
2025-01-02T09:45+01:00,2391.1,3153.2,2944.6,2923.9
2025-01-02T10:00+01:00,3028.4,3823.5,3598.7,3573.2
2025-01-02T10:15+01:00,3749.4,4482.4,4257.8,4240.5
2025-01-02T10:30+01:00,4479.2,5097.9,4873.5,4790.6
2025-01-02T10:45+01:00,5054.8,5651.2,5419.9,5321.2
2025-01-02T11:00+01:00,5569.1,6134.7,5867.6,5940.9
2025-01-02T11:15+01:00,6074.9,6560.6,6228.4,6455.3
2025-01-02T11:30+01:00,6415.1,6889.9,6480.9,6741.6
2025-01-02T11:45+01:00,6632.5,7097.7,6628.8,6772.3
2025-01-02T12:00+01:00,6708.3,7176.7,6700.9,6860
2025-01-02T12:15+01:00,6715.8,7147.8,6716.5,6925.9
2025-01-02T12:30+01:00,6763.3,7056.5,6653.9,6925.3
2025-01-02T12:45+01:00,6632.1,6876.1,6529.3,6780.7
2025-01-02T13:00+01:00,6524.4,6633.7,6347.6,6699.1
2025-01-02T13:15+01:00,6154.5,6313.6,6076,6437.3
2025-01-02T13:30+01:00,5661.3,5924.8,5727.4,6061.6
2025-01-02T13:45+01:00,5098,5468.4,5302.9,5569.7
2025-01-02T14:00+01:00,4536.8,4930.2,4618.8,5011.9
2025-01-02T14:15+01:00,3926.3,4299.8,4031.8,4330.6
2025-01-02T14:30+01:00,3262.3,3609.5,3378,3593
2025-01-02T14:45+01:00,2552.4,2921.3,2721.6,2885.3
2025-01-02T15:00+01:00,1911.9,2275.3,2111.8,2238.1
2025-01-02T15:15+01:00,1299.5,1652.7,1524.4,1590
2025-01-02T15:30+01:00,764.4,1062.2,976.1,990.2
2025-01-02T15:45+01:00,362.3,562.2,511.9,498.4
2025-01-02T16:00+01:00,132.9,221.2,200.1,165.2
2025-01-02T16:15+01:00,35.4,73.4,74.7,53
2025-01-02T16:30+01:00,23.8,27.2,28.1,16.7
2025-01-02T16:45+01:00,19.6,9.7,8.3,8.7
2025-01-02T17:00+01:00,18.4,0,0,0
2025-01-02T17:15+01:00,17.8,0,0,0
2025-01-02T17:30+01:00,36.3,0,0,0
2025-01-02T17:45+01:00,18.2,0,0,0
2025-01-02T18:00+01:00,36.4,0,0,0
2025-01-02T18:15+01:00,21.7,0,0,0
2025-01-02T18:30+01:00,20.5,0,0,0
2025-01-02T18:45+01:00,23.8,0,0,0
2025-01-02T19:00+01:00,36.1,0,0,0
2025-01-02T19:15+01:00,18.5,0,0,0
2025-01-02T19:30+01:00,7.8,0,0,0
2025-01-02T19:45+01:00,7.2,0,0,0
2025-01-02T20:00+01:00,11.5,0,0,0
2025-01-02T20:15+01:00,8.2,0,0,0
2025-01-02T20:30+01:00,7,0,0,0
2025-01-02T20:45+01:00,6.2,0,0,0
2025-01-02T21:00+01:00,6,0,0,0
2025-01-02T21:15+01:00,6.1,0,0,0
2025-01-02T21:30+01:00,5.6,0,0,0
2025-01-02T21:45+01:00,5.7,0,0,0
2025-01-02T22:00+01:00,13.1,0,0,0
2025-01-02T22:15+01:00,6.1,0,0,0
2025-01-02T22:30+01:00,5.6,0,0,0
2025-01-02T22:45+01:00,5.6,0,0,0
2025-01-02T23:00+01:00,8,0,0,0
2025-01-02T23:15+01:00,6.7,0,0,0
2025-01-02T23:30+01:00,8.6,0,0,0
2025-01-02T23:45+01:00,5.6,0,0,0
2025-01-03T00:00+01:00,7,0,0,0
2025-01-03T00:15+01:00,7,0,0,0
2025-01-03T00:30+01:00,6.8,0,0,0
2025-01-03T00:45+01:00,6.4,0,0,0
2025-01-03T01:00+01:00,7.4,0,0,0
2025-01-03T01:15+01:00,7.6,0,0,0
2025-01-03T01:30+01:00,8.4,0,0,0
2025-01-03T01:45+01:00,7.1,0,0,0
2025-01-03T02:00+01:00,6.3,0,0,0
2025-01-03T02:15+01:00,6.5,0,0,0
2025-01-03T02:30+01:00,6.3,0,0,0
2025-01-03T02:45+01:00,6.5,0,0,0
2025-01-03T03:00+01:00,8.7,0,0,0
2025-01-03T03:15+01:00,8,0,0,0
2025-01-03T03:30+01:00,7.7,0,0,0
2025-01-03T03:45+01:00,7.7,0,0,0
2025-01-03T04:00+01:00,7.4,0,0,0
2025-01-03T04:15+01:00,9.4,0,0,0
2025-01-03T04:30+01:00,10.4,0,0,0
2025-01-03T04:45+01:00,8.8,0,0,0
2025-01-03T05:00+01:00,7.7,0,0,0
2025-01-03T05:15+01:00,9.8,0,0,0
2025-01-03T05:30+01:00,9.3,0,0,0
2025-01-03T05:45+01:00,9.6,0,0,0
2025-01-03T06:00+01:00,14.7,0,0,0
2025-01-03T06:15+01:00,14.3,0,0,0
2025-01-03T06:30+01:00,15.3,0,0,0
2025-01-03T06:45+01:00,12.5,0,0,0
2025-01-03T07:00+01:00,17.7,0,0,0
2025-01-03T07:15+01:00,17.4,0,0,0
2025-01-03T07:30+01:00,18.7,0,0,0
2025-01-03T07:45+01:00,21,0,0,0
2025-01-03T08:00+01:00,22.6,36.6,22.3,22.5
2025-01-03T08:15+01:00,37.7,152.6,103.3,89.1
2025-01-03T08:30+01:00,182.2,369.7,282.2,260.8
2025-01-03T08:45+01:00,457.9,751.1,618.7,589.7
2025-01-03T09:00+01:00,838.5,1313.2,1153.1,1108.4
2025-01-03T09:15+01:00,1280.2,2012,1844.9,1831.9
2025-01-03T09:30+01:00,1823.5,2770.4,2606.3,2549.8
2025-01-03T09:45+01:00,2471,3522.3,3379.4,3274.1
2025-01-03T10:00+01:00,3133.5,4255.6,4131.9,3942.7
2025-01-03T10:15+01:00,3748.5,5003.3,4886.4,4649.9
2025-01-03T10:30+01:00,4459.6,5703.6,5605,5200.1
2025-01-03T10:45+01:00,5111.3,6304.3,6233.5,5755
2025-01-03T11:00+01:00,5675.1,6822.8,6752.5,6296.5
2025-01-03T11:15+01:00,6200.9,7262,7173.9,6707.6
2025-01-03T11:30+01:00,6514.9,7569.5,7436.4,6914.2
2025-01-03T11:45+01:00,6605.5,7752.6,7568.6,7076.1
2025-01-03T12:00+01:00,6665.8,7854.5,7637.6,7299.3
2025-01-03T12:15+01:00,6609.3,7922.2,7666.7,7478.3
2025-01-03T12:30+01:00,6535.6,7860.7,7587.2,7515.5
2025-01-03T12:45+01:00,6429.4,7688.4,7422.5,7335.6
2025-01-03T13:00+01:00,6230.7,7440.1,7189.8,7113.1
2025-01-03T13:15+01:00,6064.7,7128.6,6878.9,6837.9
2025-01-03T13:30+01:00,5778.9,6709.8,6462.4,6441.2
2025-01-03T13:45+01:00,5433.5,6196.4,5957.8,5966.3
2025-01-03T14:00+01:00,4820.6,5618.3,5236.4,5482
2025-01-03T14:15+01:00,4238,4985.4,4636.1,4894.6
2025-01-03T14:30+01:00,3650.3,4289.5,3984.7,4295
2025-01-03T14:45+01:00,3064.9,3559.6,3304.7,3506
2025-01-03T15:00+01:00,2463.7,2842,2634.9,2763.9
2025-01-03T15:15+01:00,1857.9,2133,1977.2,2048
2025-01-03T15:30+01:00,1256.3,1448,1342.9,1376.4
2025-01-03T15:45+01:00,719.5,842.4,789.6,811.8
2025-01-03T16:00+01:00,322.9,390.1,376.8,377.5
2025-01-03T16:15+01:00,97.6,133.9,137.4,140.5
2025-01-03T16:30+01:00,25.5,38.2,41.8,40.7
2025-01-03T16:45+01:00,14.5,10.4,11.9,12.2
2025-01-03T17:00+01:00,10.9,0,0,0
2025-01-03T17:15+01:00,11.5,0,0,0
2025-01-03T17:30+01:00,10.5,0,0,0
2025-01-03T17:45+01:00,10.9,0,0,0
2025-01-03T18:00+01:00,12.9,0,0,0
2025-01-03T18:15+01:00,13.2,0,0,0
2025-01-03T18:30+01:00,12,0,0,0
2025-01-03T18:45+01:00,14.9,0,0,0
2025-01-03T19:00+01:00,9.5,0,0,0
2025-01-03T19:15+01:00,8.9,0,0,0
2025-01-03T19:30+01:00,9,0,0,0
2025-01-03T19:45+01:00,9.3,0,0,0
2025-01-03T20:00+01:00,7.8,0,0,0
2025-01-03T20:15+01:00,6.6,0,0,0
2025-01-03T20:30+01:00,6.8,0,0,0
2025-01-03T20:45+01:00,7.4,0,0,0
2025-01-03T21:00+01:00,6.8,0,0,0
2025-01-03T21:15+01:00,7,0,0,0
2025-01-03T21:30+01:00,8.1,0,0,0
2025-01-03T21:45+01:00,7.1,0,0,0
2025-01-03T22:00+01:00,7.9,0,0,0
2025-01-03T22:15+01:00,8.7,0,0,0
2025-01-03T22:30+01:00,8.4,0,0,0
2025-01-03T22:45+01:00,9.3,0,0,0
2025-01-03T23:00+01:00,11.8,0,0,0
2025-01-03T23:15+01:00,8.4,0,0,0
2025-01-03T23:30+01:00,7.4,0,0,0
2025-01-03T23:45+01:00,7.3,0,0,0
