Date (GMT+1),Solar,"Solar forecast (Day-Ahead, D-1 18:00)","Solar forecast (Intraday, 8:00)",Solar forecast (Current)
,Power (MW),Power (MW),Power (MW),Power (MW)
2024-01-01T00:00+01:00,3.5,0,0,0
2024-01-01T00:15+01:00,3.6,0,0,0
2024-01-01T00:30+01:00,2.8,0,0,0
2024-01-01T00:45+01:00,2.7,0,0,0
2024-01-01T01:00+01:00,3.4,0,0,0
2024-01-01T01:15+01:00,2.8,0,0,0
2024-01-01T01:30+01:00,2.9,0,0,0
2024-01-01T01:45+01:00,2.7,0,0,0
2024-01-01T02:00+01:00,3.4,0,0,0
2024-01-01T02:15+01:00,2.7,0,0,0
2024-01-01T02:30+01:00,2.9,0,0,0
2024-01-01T02:45+01:00,2.8,0,0,0
2024-01-01T03:00+01:00,3.5,0,0,0
2024-01-01T03:15+01:00,2.8,0,0,0
2024-01-01T03:30+01:00,3.6,0,0,0
2024-01-01T03:45+01:00,2.8,0,0,0
2024-01-01T04:00+01:00,2.7,0,0,0
2024-01-01T04:15+01:00,2.9,0,0,0
2024-01-01T04:30+01:00,2.8,0,0,0
2024-01-01T04:45+01:00,2.7,0,0,0
2024-01-01T05:00+01:00,2.6,0,0,0
2024-01-01T05:15+01:00,2.6,0,0,0
2024-01-01T05:30+01:00,3.4,0,0,0
2024-01-01T05:45+01:00,3.6,0,0,0
2024-01-01T06:00+01:00,2.8,0,0,0
2024-01-01T06:15+01:00,2.9,0,0,0
2024-01-01T06:30+01:00,3.3,0,0,0
2024-01-01T06:45+01:00,3.8,0,0,0
2024-01-01T07:00+01:00,3.1,0,0,0
2024-01-01T07:15+01:00,4,0,0,0
2024-01-01T07:30+01:00,4.3,0,0,0
2024-01-01T07:45+01:00,4.9,0,0,0
2024-01-01T08:00+01:00,10,52.6,41.5,41.3
2024-01-01T08:15+01:00,87.3,298,290.3,277.9
2024-01-01T08:30+01:00,491.8,770.7,818.6,797.3
2024-01-01T08:45+01:00,1111.9,1418.6,1543.1,1498.5
2024-01-01T09:00+01:00,1934.9,2173.8,2364.9,2267.3
2024-01-01T09:15+01:00,2832.6,3035.7,3263.8,3192.8
2024-01-01T09:30+01:00,3651.5,3946.7,4202.1,4080.2
2024-01-01T09:45+01:00,4451,4801.5,5071.1,5008.8
2024-01-01T10:00+01:00,5299.5,5565.5,5859.7,5846.4
2024-01-01T10:15+01:00,6099.3,6281.9,6562,6607.6
2024-01-01T10:30+01:00,6741.1,6899.3,7150.5,7253.7
2024-01-01T10:45+01:00,7229.9,7382,7610.5,7902.3
2024-01-01T11:00+01:00,7773.6,7758.8,7995.4,8445.9
2024-01-01T11:15+01:00,8178.6,8055,8314.5,8896.5
2024-01-01T11:30+01:00,8335.2,8240.1,8506.2,9221
2024-01-01T11:45+01:00,8257.6,8306.2,8552.5,9328.7
2024-01-01T12:00+01:00,8115.4,8290.4,8512.7,9295.3
2024-01-01T12:15+01:00,8003.4,8171.6,8372,9121.2
2024-01-01T12:30+01:00,7672.3,7978.3,8186.4,8854.8
2024-01-01T12:45+01:00,7295.5,7720.9,7981.4,8489.2
2024-01-01T13:00+01:00,6963.7,7432.7,7741.6,8119.8
2024-01-01T13:15+01:00,6613.5,7091.8,7438.9,7581.7
2024-01-01T13:30+01:00,6196.6,6681.7,7048,7054
2024-01-01T13:45+01:00,5690,6186.7,6568,6419.7
2024-01-01T14:00+01:00,5237.2,5617.4,5928.6,5744.5
2024-01-01T14:15+01:00,4587.1,4965.6,5280.2,5024.2
2024-01-01T14:30+01:00,3859.4,4234,4525.8,4283
2024-01-01T14:45+01:00,3114.2,3474.9,3722.3,3575.7
2024-01-01T15:00+01:00,2376.5,2745.2,2950.3,2823.2
2024-01-01T15:15+01:00,1681.6,2030.8,2221.9,2129.2
2024-01-01T15:30+01:00,1051.5,1351.4,1545.2,1456.6
2024-01-01T15:45+01:00,579.3,756.7,938,832.2
2024-01-01T16:00+01:00,246.5,322.8,450.5,381
2024-01-01T16:15+01:00,65.5,102.8,178.7,148.6
2024-01-01T16:30+01:00,13.9,26,60.2,28.7
2024-01-01T16:45+01:00,7.8,7.3,16.8,8.4
2024-01-01T17:00+01:00,4.5,0,0,0
2024-01-01T17:15+01:00,4.1,0,0,0
2024-01-01T17:30+01:00,7.8,0,0,0
2024-01-01T17:45+01:00,7,0,0,0
2024-01-01T18:00+01:00,7.3,0,0,0
2024-01-01T18:15+01:00,6.6,0,0,0
2024-01-01T18:30+01:00,4,0,0,0
2024-01-01T18:45+01:00,3.4,0,0,0
2024-01-01T19:00+01:00,5.8,0,0,0
2024-01-01T19:15+01:00,6,0,0,0
2024-01-01T19:30+01:00,2.9,0,0,0
2024-01-01T19:45+01:00,2.7,0,0,0
2024-01-01T20:00+01:00,4.2,0,0,0
2024-01-01T20:15+01:00,2.7,0,0,0
2024-01-01T20:30+01:00,2.7,0,0,0
2024-01-01T20:45+01:00,2.6,0,0,0
2024-01-01T21:00+01:00,3.4,0,0,0
2024-01-01T21:15+01:00,2.6,0,0,0
2024-01-01T21:30+01:00,3.3,0,0,0
2024-01-01T21:45+01:00,2.6,0,0,0
