Date (GMT+1),Solar,"Solar forecast (Day-Ahead, D-1 18:00)","Solar forecast (Intraday, 8:00)",Solar forecast (Current)
,Power (MW),Power (MW),Power (MW),Power (MW)
2023-01-01T00:00+01:00,2.3,0,0,0
2023-01-01T00:15+01:00,1.7,0,0,0
2023-01-01T00:30+01:00,1.4,0,0,0
2023-01-01T00:45+01:00,1.7,0,0,0
2023-01-01T01:00+01:00,1.5,0,0,0
2023-01-01T01:15+01:00,1.7,0,0,0
2023-01-01T01:30+01:00,1.7,0,0,0
2023-01-01T01:45+01:00,1.7,0,0,0
2023-01-01T02:00+01:00,2.6,0,0,0
2023-01-01T02:15+01:00,1.5,0,0,0
2023-01-01T02:30+01:00,1.4,0,0,0
2023-01-01T02:45+01:00,1.7,0,0,0
2023-01-01T03:00+01:00,1.7,0,0,0
2023-01-01T03:15+01:00,1.7,0,0,0
2023-01-01T03:30+01:00,1.8,0,0,0
2023-01-01T03:45+01:00,1.8,0,0,0
2023-01-01T04:00+01:00,2.6,0,0,0
2023-01-01T04:15+01:00,1.9,0,0,0
2023-01-01T04:30+01:00,2.1,0,0,0
2023-01-01T04:45+01:00,1.9,0,0,0
2023-01-01T05:00+01:00,3.9,0,0,0
2023-01-01T05:15+01:00,1.9,0,0,0
2023-01-01T05:30+01:00,1.7,0,0,0
2023-01-01T05:45+01:00,1.9,0,0,0
2023-01-01T06:00+01:00,2.2,0,0,0
2023-01-01T06:15+01:00,1.7,0,0,0
2023-01-01T06:30+01:00,1.8,0,0,0
2023-01-01T06:45+01:00,2.1,0,0,0
2023-01-01T07:00+01:00,1.9,0,0,0
2023-01-01T07:15+01:00,1.9,0,0,0
2023-01-01T07:30+01:00,2.2,0,0,0
2023-01-01T07:45+01:00,3.1,0,0,0
2023-01-01T08:00+01:00,15.2,37.2,10.2,10.2
2023-01-01T08:15+01:00,109.9,165.5,81.4,79.8
2023-01-01T08:30+01:00,586.3,865.2,803,792.4
2023-01-01T08:45+01:00,1315.8,1613.8,1682.3,1628.4
2023-01-01T09:00+01:00,2137.4,2493.7,2708.2,2509.1
2023-01-01T09:15+01:00,2920.6,3461.8,3804.2,3616.4
2023-01-01T09:30+01:00,3715.5,4494.8,4913.6,4712.6
2023-01-01T09:45+01:00,4509,5539.4,6075.1,5665.1
2023-01-01T10:00+01:00,5329.8,6541.6,7229.3,6666.9
2023-01-01T10:15+01:00,6052.9,7497.2,8355.5,7470.3
2023-01-01T10:30+01:00,6697.6,8388.3,9381.5,8278.1
2023-01-01T10:45+01:00,7331.9,9168.9,10235.4,8801.6
2023-01-01T11:00+01:00,7883.3,9872.9,10907.7,9243
2023-01-01T11:15+01:00,8310.9,10426.6,11480.9,9570.7
2023-01-01T11:30+01:00,8686,10862.2,11914.8,9853.4
2023-01-01T11:45+01:00,8883,11142.7,12234.2,10052.2
2023-01-01T12:00+01:00,8868.8,11278.2,12446.1,10221.1
2023-01-01T12:15+01:00,8865.5,11242.4,12478,10440.7
2023-01-01T12:30+01:00,8921.3,11094.4,12313.8,10388.2
2023-01-01T12:45+01:00,8763.5,10799.2,12021.7,10135.8
2023-01-01T13:00+01:00,8588,10391,11655,9773.1
2023-01-01T13:15+01:00,8160.9,9799.9,11048.6,8941.6
2023-01-01T13:30+01:00,7517.7,9109.3,10280.4,8286.6
2023-01-01T13:45+01:00,6820.4,8302.2,9369.8,7627.9
2023-01-01T14:00+01:00,6168.7,7443.6,7897.2,6845.1
2023-01-01T14:15+01:00,5427.6,6492,6869.1,5916.7
2023-01-01T14:30+01:00,4582.4,5490,5753.6,4916.3
2023-01-01T14:45+01:00,3722.2,4478.4,4638.8,3869.5
2023-01-01T15:00+01:00,2887.7,3534.5,3621.5,3011.2
2023-01-01T15:15+01:00,2114.6,2693.9,2709.6,2263.4
2023-01-01T15:30+01:00,1380.5,1925.4,1888.3,1607.2
2023-01-01T15:45+01:00,763.2,1228.8,1189.6,959.2
2023-01-01T16:00+01:00,323.3,685.4,630.9,427.9
2023-01-01T16:15+01:00,84.1,307.3,261.7,75
2023-01-01T16:30+01:00,10.2,67.7,56.8,17.5
2023-01-01T16:45+01:00,4.2,12.6,11.2,2.8
2023-01-01T17:00+01:00,2.8,0,0,0
2023-01-01T17:15+01:00,2.9,0,0,0
2023-01-01T17:30+01:00,3.7,0,0,0
2023-01-01T17:45+01:00,3.2,0,0,0
2023-01-01T18:00+01:00,2.3,0,0,0
2023-01-01T18:15+01:00,2.4,0,0,0
2023-01-01T18:30+01:00,2.4,0,0,0
2023-01-01T18:45+01:00,2,0,0,0
2023-01-01T19:00+01:00,1.8,0,0,0
2023-01-01T19:15+01:00,1.9,0,0,0
2023-01-01T19:30+01:00,1.9,0,0,0
2023-01-01T19:45+01:00,2.1,0,0,0
2023-01-01T20:00+01:00,1.9,0,0,0
2023-01-01T20:15+01:00,2.5,0,0,0
2023-01-01T20:30+01:00,2,0,0,0
2023-01-01T20:45+01:00,2,0,0,0
2023-01-01T21:00+01:00,2.5,0,0,0
2023-01-01T21:15+01:00,2.6,0,0,0
2023-01-01T21:30+01:00,1.9,0,0,0
2023-01-01T21:45+01:00,1.8,0,0,0
2023-01-01T22:00+01:00,2.6,0,0,0
2023-01-01T22:15+01:00,2.4,0,0,0
2023-01-01T22:30+01:00,2,0,0,0
2023-01-01T22:45+01:00,1.9,0,0,0
2023-01-01T23:00+01:00,2.5,0,0,0
2023-01-01T23:15+01:00,2.1,0,0,0
2023-01-01T23:30+01:00,1.9,0,0,0
2023-01-01T23:45+01:00,2,0,0,0
2023-01-02T00:00+01:00,1.8,0,0,0
2023-01-02T00:15+01:00,2.4,0,0,0
2023-01-02T00:30+01:00,1.9,0,0,0
2023-01-02T00:45+01:00,2.2,0,0,0
2023-01-02T01:00+01:00,1.7,0,0,0
2023-01-02T01:15+01:00,1.8,0,0,0
2023-01-02T01:30+01:00,1.9,0,0,0
2023-01-02T01:45+01:00,1.7,0,0,0
2023-01-02T02:00+01:00,2.5,0,0,0
2023-01-02T02:15+01:00,2.2,0,0,0
2023-01-02T02:30+01:00,1.8,0,0,0
2023-01-02T02:45+01:00,1.8,0,0,0
2023-01-02T03:00+01:00,2.2,0,0,0
2023-01-02T03:15+01:00,1.6,0,0,0
2023-01-02T03:30+01:00,1.8,0,0,0
2023-01-02T03:45+01:00,1.8,0,0,0
2023-01-02T04:00+01:00,1.8,0,0,0
2023-01-02T04:15+01:00,1.8,0,0,0
2023-01-02T04:30+01:00,1.8,0,0,0
2023-01-02T04:45+01:00,2.6,0,0,0
2023-01-02T05:00+01:00,2,0,0,0
2023-01-02T05:15+01:00,1.8,0,0,0
2023-01-02T05:30+01:00,1.8,0,0,0
2023-01-02T05:45+01:00,2,0,0,0
2023-01-02T06:00+01:00,2,0,0,0
2023-01-02T06:15+01:00,1.9,0,0,0
2023-01-02T06:30+01:00,2.2,0,0,0
2023-01-02T06:45+01:00,2.9,0,0,0
2023-01-02T07:00+01:00,2.4,0,0,0
2023-01-02T07:15+01:00,2.1,0,0,0
2023-01-02T07:30+01:00,2.2,0,0,0
2023-01-02T07:45+01:00,3.1,0,0,0
2023-01-02T08:00+01:00,10,30.7,17.8,17.8
2023-01-02T08:15+01:00,111.6,144.1,109.6,97.5
2023-01-02T08:30+01:00,521.8,805.3,738.7,687.3
2023-01-02T08:45+01:00,1055.8,1486.4,1429.4,1353.3
2023-01-02T09:00+01:00,1699.2,2275.8,2146.4,2113
2023-01-02T09:15+01:00,2355.2,3120.3,2967.4,2960.9
2023-01-02T09:30+01:00,3001.3,4012.7,3801.2,3746.6
2023-01-02T09:45+01:00,3668.8,4918.1,4682.5,4594.7
2023-01-02T10:00+01:00,4294.2,5787,5571.9,5420.7
2023-01-02T10:15+01:00,4958.2,6616,6444.4,6292.1
2023-01-02T10:30+01:00,5535,7388.3,7284,6883.3
2023-01-02T10:45+01:00,6046.4,8033.4,8031.8,7471.9
2023-01-02T11:00+01:00,6589.9,8543.7,8688.4,8110.1
2023-01-02T11:15+01:00,6888,8985.3,9241.9,8544.5
2023-01-02T11:30+01:00,7082.8,9282.8,9644,8614.5
2023-01-02T11:45+01:00,7304.2,9408.8,9864,8614
2023-01-02T12:00+01:00,7379,9394.2,9974.6,8476.4
2023-01-02T12:15+01:00,7286.3,9225.1,9920.7,8178.4
2023-01-02T12:30+01:00,7201,8933.9,9718.2,8261.8
2023-01-02T12:45+01:00,6936.2,8514.5,9376.9,7948.1
2023-01-02T13:00+01:00,6503.8,8021.1,8924.8,7479
2023-01-02T13:15+01:00,5938.1,7415.3,8244.1,6679.6
2023-01-02T13:30+01:00,5377.3,6767.3,7550.7,6116.7
2023-01-02T13:45+01:00,4833.8,6066.5,6764,5337.4
2023-01-02T14:00+01:00,4184.8,5354.8,5320.2,4568.2
2023-01-02T14:15+01:00,3565.9,4618.9,4555.2,3913.9
2023-01-02T14:30+01:00,2872.2,3884.1,3775.8,3213.3
2023-01-02T14:45+01:00,2221.5,3142.7,3011.6,2430.7
2023-01-02T15:00+01:00,1654.5,2461.2,2343.5,1833.9
2023-01-02T15:15+01:00,1147.6,1853.3,1761.1,1327.5
2023-01-02T15:30+01:00,706.5,1311.1,1236,877.4
2023-01-02T15:45+01:00,367.1,828.2,780.6,490.3
2023-01-02T16:00+01:00,145.1,459.4,428.9,225.3
2023-01-02T16:15+01:00,34.1,198.3,198.1,66.8
2023-01-02T16:30+01:00,6,35.5,55,25.6
2023-01-02T16:45+01:00,3.5,6.2,12.7,5.5
2023-01-02T17:00+01:00,2.2,0,0,0
2023-01-02T17:15+01:00,6.3,0,0,0
2023-01-02T17:30+01:00,6.3,0,0,0
2023-01-02T17:45+01:00,2.5,0,0,0
