Solar,"Solar forecast (Day-Ahead, D-1 18:00)","Solar forecast (Intraday, 8:00)",Solar forecast (Current)
6597,5733.2,5600.6,5894.5
6266.2,5557.2,5433.9,5834.4
5960.9,5270.3,5147.8,5490.7
5689.9,4882.8,4759,5014.5
5090.7,4463.3,4137.6,4550.3
4555.7,3991.8,3685.4,4127.6
3822.7,3425.2,3150.6,3596.6
3154.2,2809.3,2577.1,2920.8
2477,2224.5,2035.6,2291
1856.2,1721.6,1585.6,1737.6
1273.8,1196.6,1118.9,1150
702.6,719.5,692.9,641.1
289.8,345.4,353.2,282.3
68.2,128.3,151.1,87.2
9.6,42.3,53.5,25.5
8.4,14.5,17.4,9.5
3.9,0,0,0
4.1,0,0,0
7.9,0,0,0
9.6,0,0,0
3.6,0,0,0
4.9,0,0,0
6.2,0,0,0
3.2,0,0,0
6.5,0,0,0
3.6,0,0,0
3.3,0,0,0
2.7,0,0,0
5.8,0,0,0
2.5,0,0,0
2.4,0,0,0
2.4,0,0,0
3.2,0,0,0
2.5,0,0,0
2.5,0,0,0
2.5,0,0,0
3.2,0,0,0
3.2,0,0,0
2.5,0,0,0
2.6,0,0,0
3.4,0,0,0
3.4,0,0,0
2.6,0,0,0
2.6,0,0,0
3.2,0,0,0
3.3,0,0,0
2.5,0,0,0
2.5,0,0,0
2.9,0,0,0
2.6,0,0,0
2.6,0,0,0
2.6,0,0,0
3.2,0,0,0
3.3,0,0,0
2.5,0,0,0
2.6,0,0,0
3.3,0,0,0
2.6,0,0,0
2.6,0,0,0
2.6,0,0,0
2.6,0,0,0
2.7,0,0,0
2.7,0,0,0
3.4,0,0,0
2.4,0,0,0
2.5,0,0,0
2.8,0,0,0
3.5,0,0,0
2.7,0,0,0
2.8,0,0,0
3.6,0,0,0
4.1,0,0,0
2.5,0,0,0
2.6,0,0,0
2.8,0,0,0
3.4,0,0,0
5.7,18.6,10.2,10.3
29.9,131.6,94.1,89.1
177.2,342.6,271.6,262
450.4,586.9,488.2,482.7
845.3,881.3,789.9,780.8
1310.5,1234.2,1150.8,1201.4
1830.3,1635.3,1554.3,1658.4
2379,2013.8,1952,2108.1
2894.4,2388.4,2331.6,2577.2
3352.6,2794.7,2736,3107.9
3844.5,3191.1,3124.4,3592.4
4292.4,3558.4,3491.4,4049.9
4661.1,3901.6,3835.2,4380.2
4954.7,4231.4,4165.7,4746.2
5235.1,4509.6,4442.1,5050.4
5375.5,4732.2,4665.3,5315.3
5457.5,4892,4833.8,5437.2
5469.2,5008.9,4992.2,5570.1
5654.6,5076.8,5075.2,5645.1
5571.2,5095.2,5090.1,5706.3
5384.2,5042.2,5036.9,5628.4
5197,4957,4988.9,5549.3
4993.5,4800.3,4864.5,5373.1
4665.9,4575.1,4662.8,5059.6
4239.8,4283.3,4358.1,4694.8
3953.9,3910.2,3998.5,4252.9
3485.9,3438.9,3522.2,3757.1
2950.3,2902.3,2967.6,3061.8
2387.2,2343.7,2415.8,2509.4
1818.5,1862.4,1893.5,1912.1
1251.8,1336.4,1340,1340.8
689.2,846.6,832.1,776.7
285.9,435.9,417,369.8
75.7,181.4,168.7,149.9
12.1,70.5,56,48.3
8.9,27.1,16.6,15
3.9,0,0,0
3.9,0,0,0
8.8,0,0,0
13.5,0,0,0
12,0,0,0
10.8,0,0,0
11.6,0,0,0
10.8,0,0,0
6.8,0,0,0
2.9,0,0,0
2.8,0,0,0
3.5,0,0,0
3.4,0,0,0
2.8,0,0,0
2.8,0,0,0
2.8,0,0,0
3.4,0,0,0
2.7,0,0,0
2.7,0,0,0
2.8,0,0,0
3.3,0,0,0
2.5,0,0,0
2.5,0,0,0
2.5,0,0,0
3.4,0,0,0
3.4,0,0,0
2.5,0,0,0
2.5,0,0,0
3.2,0,0,0
3.4,0,0,0
2.7,0,0,0
2.7,0,0,0
3.4,0,0,0
2.7,0,0,0
2.7,0,0,0
2.8,0,0,0
3.4,0,0,0
2.7,0,0,0
2.6,0,0,0
2.5,0,0,0
2.7,0,0,0
2.8,0,0,0
2.8,0,0,0
2.9,0,0,0
2.8,0,0,0
2.8,0,0,0
2.9,0,0,0
2.8,0,0,0
2.8,0,0,0
2.7,0,0,0
2.9,0,0,0
3.5,0,0,0
3,0,0,0
3,0,0,0
2.8,0,0,0
2.6,0,0,0
3.3,0,0,0
2.6,0,0,0
2.8,0,0,0
3.7,0,0,0
5.3,35,20.2,20.1
48.3,186.6,121.5,110.5
213,448.7,325.3,306.9
488.4,839.4,626.9,592.7
855.1,1332.1,1021.9,966.3
1325.9,1892.6,1507.6,1507.3
1973.7,2476.1,2036.4,2022.9
2631.8,3081.9,2565.4,2540.3
3195.4,3639.2,3072.4,3057.8
3764.1,4184.6,3567.7,3617.1
4366.9,4674.1,4027.4,4151.4
4951.1,5085,4432,4666.6
5341.5,5427.4,4788.8,5083.9
5618,5710.1,5112.9,5524
5773.7,5898.3,5347.1,5827.6
5843.1,5985.9,5473.8,5972.7
5816.6,5994.3,5528.2,6040.6
5765.5,5945.2,5515.8,6001.3
5641.2,5819.2,5418.5,5850.3
5299.8,5604.6,5249,5586.8
4888.9,5341.9,5050,5196.9
4504.1,5011,4795.2,4782.5
4181.9,4608.1,4462.9,4256.4
3831.6,4162.5,4064.9,3748.9
3442.7,3719.9,3563.1,3325
2966.4,3254.8,3126.9,2912.3
2586,2763.7,2659.6,2519.1
2187.1,2261.4,2186,2053.6
1725.8,1761.9,1692.1,1656.6
1292.5,1331.7,1334.6,1230.2
880.8,912.6,958.8,839
525.9,542.6,614.9,498
238.8,276.9,352.1,246.9
74.1,108.5,158.5,103.7
17.1,39.4,59.2,37.3
10.1,15.8,18.7,14.4
3.8,0,0,0
3.5,0,0,0
7.3,0,0,0
3.4,0,0,0
4.2,0,0,0
6.5,0,0,0
7.5,0,0,0
3.8,0,0,0
9.7,0,0,0
3.1,0,0,0
2.8,0,0,0
2.8,0,0,0
6.5,0,0,0
2.7,0,0,0
2.5,0,0,0
2.5,0,0,0
3.3,0,0,0
2.7,0,0,0
2.6,0,0,0
2.6,0,0,0
6.6,0,0,0
2.6,0,0,0
2.6,0,0,0
2.8,0,0,0
3.4,0,0,0
3.4,0,0,0
2.7,0,0,0
2.7,0,0,0
3.4,0,0,0
3.4,0,0,0
2.5,0,0,0
2.5,0,0,0
3,0,0,0
2.5,0,0,0
2.8,0,0,0
2.9,0,0,0
2.8,0,0,0
2.7,0,0,0
2.8,0,0,0
2.7,0,0,0
2.6,0,0,0
2.6,0,0,0
2.7,0,0,0
2.8,0,0,0
2.7,0,0,0
3.1,0,0,0
2.8,0,0,0
2.9,0,0,0
2.8,0,0,0
2.7,0,0,0
2.8,0,0,0
2.7,0,0,0
2.6,0,0,0
2.7,0,0,0
3.5,0,0,0
3.2,0,0,0
2.8,0,0,0
3,0,0,0
3.8,0,0,0
3.9,0,0,0
4.2,11.2,6.6,6.7
20.6,107.1,91.4,83.7
114.3,255.6,231.5,225.3
299,426.7,399.2,404.2
558.5,629,613.1,614.3
875.3,866.4,897.5,943.2
1198.3,1174.4,1247.6,1330.5
1528.5,1417.5,1559.8,1669.2
1817.8,1690,1858.5,1999.3
2066.2,1990.5,2172.3,2369.3
2269.2,2267.7,2461.8,2685.6
2436.1,2517.3,2722.1,2934.4
2616.6,2728,2943.1,3129.2
2734.6,2915.8,3140.8,3285.2
2824.6,3052.1,3278.6,3355.6
2883.2,3128,3349.8,3397
2901,3136.9,3358.6,3343.6
2930.6,3086.4,3319.3,3222
2904.3,2976.7,3229.5,3106.9
2786.1,2832,3096.1,2980.9
2646.8,2668.6,2934.5,2859.7
2438.5,2483.9,2742.2,2651.1
2233.7,2271.3,2511.6,2474.4
2009.5,2039.9,2257.4,2253.7
1779.1,1798.1,1910.1,1998.1
1538.1,1554.5,1640.5,1719.6
1300.5,1301.9,1354.5,1436.5
1054.2,1060.7,1079.7,1137.6
804.6,845.9,831.5,878.2
568.8,650.5,644,664.4
354.4,472.6,458.2,464.8
181.6,306.7,292.7,280.8
63.5,173.8,165.2,143.2
14.2,80,73.9,51.6
6,29.6,29.5,15.2
6.3,12.2,13.8,4.2
3.6,0,0,0
3.5,0,0,0
4.9,0,0,0
3.4,0,0,0
6.5,0,0,0
4,0,0,0
3.1,0,0,0
3,0,0,0
6.8,0,0,0
3.1,0,0,0
2.9,0,0,0
2.8,0,0,0
6.5,0,0,0
2.9,0,0,0
2.8,0,0,0
2.8,0,0,0
3.5,0,0,0
2.6,0,0,0
2.6,0,0,0
2.7,0,0,0
3.3,0,0,0
2.5,0,0,0
2.5,0,0,0
2.6,0,0,0
2.7,0,0,0
2.8,0,0,0
2.9,0,0,0
2.6,0,0,0
2.5,0,0,0
2.6,0,0,0
2.6,0,0,0
2.6,0,0,0
2.4,0,0,0
3.2,0,0,0
2.6,0,0,0
2.6,0,0,0
3.4,0,0,0
3.2,0,0,0
2.5,0,0,0
2.6,0,0,0
2.6,0,0,0
2.6,0,0,0
2.6,0,0,0
2.6,0,0,0
3.2,0,0,0
